account_id,station_name,basetemp,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid
"SEHDPS1526388512","VAN-NUYS",60,9797,8242,1555.476,"16","VAN-NUYS",6653,1589,0.049,0.492,21,07mar2012,04nov2013,2303,621,.1608607,60,.6898351,403,370,9203,0.085,0.009,46,05mar2008,04nov2011,2303,1302,.4026152,60,.2577213,831,927,"SEHDPS1526388512","12/1/11","2/15/12",91321,9,"VAN-NUYS_722886",722886,1
"9264652903","CAMP-PENDLETON",60,3971,3740,230.9336,"17","CAMP-PENDLETON",3616,123,0.070,0.061,15,10jul2012,08sep2013,1042,352,.128759,60,.1183989,263,134,3738,0.033,0.096,40,09feb2009,09may2012,1042,167,.110981,60,.2232765,133,116,"1386","5/22/12","6/19/12",92128,10,"CAMP-PENDLETON_722926",722926,1
"5708455284","CAMP-PENDLETON",60,7240,6271,968.5884,"18b","CAMP-PENDLETON",4045,2226,0.092,0.793,16,07jun2012,08sep2013,1042,781,.2920768,60,2.136268,580,304,5130,0.054,0.736,15,08feb2011,06apr2012,1042,465,.3363165,60,2.02472,391,350,"5708455284","4/26/12","6/1/12",92040,10,"CAMP-PENDLETON_722926",722926,1
"9069281964","SAN-DIEGO-MONTGOMER",60,4518,4080,438.8894,"19b","SAN-DIEGO-MONTGOMER",3276,804,0.070,0.639,14,06aug2012,05sep2013,1257,395,.1387017,60,.639538,285,174,3459,0.029,0.724,39,05feb2009,05apr2012,1257,175,.0856399,60,.8427254,131,108,"9069281964","4/10/12","7/30/12",92115,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"E3RCZ8","LIVERMORE",60,4873,5147,-274.2822,"2","LIVERMORE",5513,-366,0.020,0.440,20,13sep2011,11apr2013,1277,135,.0760786,60,-.2863002,103,97,4968,0.029,0.026,17,12feb2010,14jun2011,1277,154,.1164052,60,-.0740741,139,149,"E3RCZ8","6/15/11","9/10/11",94526,12,"LIVERMORE_724927",724927,1
"9608731398","SAN-DIEGO-MONTGOMER",60,8967,8846,121.2188,"20","SAN-DIEGO-MONTGOMER",8168,678,0.037,0.442,16,22jun2012,22sep2013,1257,454,.1618671,60,.5392011,323,203,8976,0.021,0.000,39,24feb2009,24apr2012,1257,256,.1274996,60,-.0069,191,160,"1351","5/2/12","5/23/12",92117,7,"SAN-DIEGO-MONTGOMER_722903",722903,1
"NKP4ZU","CONCORD",60,8814,8529,284.3789,"3","CONCORD",9170,-641,0.052,0.105,17,05dec2011,04apr2013,1498,480,.3224742,60,-.4278452,440,483,9532,0.028,0.218,32,04feb2009,06sep2011,1498,329,.1659418,60,-.4796244,243,249,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1
"OVYM2X","OAKLAND",60,5206,5522,-315.9551,"4","OAKLAND",5882,-360,0.068,0.040,16,20nov2011,21mar2013,401,357,1.170313,60,-.8982913,373,469,5495,0.042,0.102,32,21jan2009,22aug2011,401,272,.3904024,60,-.722181,220,157,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1
"4GY9LD","SAN-JOSE-INTL",60,5230,5695,-465.1426,"5","SAN-JOSE-INTL",5974,-278,0.024,0.167,19,29sep2011,31mar2013,1076,176,.1402929,60,-.2586868,139,151,5507,0.017,0.281,29,29jan2009,01jun2011,1076,113,.0791884,60,-.2572796,88,85,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1
"FBDDJ3","NAPA-CO",60,3705,3374,331.4211,"6","NAPA-CO",3529,-155,0.033,0.109,14,29feb2012,01apr2013,662,131,.1929701,60,-.2341638,110,128,3573,0.023,0.057,36,29jan2009,29dec2011,662,106,.1395489,60,.1992625,85,92,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1
