account_id,station,basetemp,nac_pre,nac_post,savings,site_number,base_post,nahc_post,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,lthdd_post,sebs_post,sehpdd_post,trefh_post,hpdd_post,senac_post,senahc_post,base_pre,nahc_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,lthdd_pre,sebs_pre,sehpdd_pre,trefh_pre,hpdd_pre,senac_pre,senahc_pre,iou_id,retrofit_start_date,retrofit_end_date,zipcode,ca_climate_zone,station_id,station_number,isvalid,station_name
"NKP4ZU","CONCORD",56,826,607,219.5643,"3",381,226,0.069,0.845,19,05oct2011,04apr2013,846,54,.0277754,56,.2672924,42,23,485,341,0.044,0.828,32,04feb2009,06sep2011,846,47,.033611,56,.403371,36,28,"NKP4ZU","10/1/11","11/21/11",94556,12,"CONCORD_724936",724936,1,"CONCORD"
"OVYM2X","OAKLAND",56,685,476,208.5163,"4",300,176,0.067,0.791,19,21sep2011,21mar2013,746,41,.0293657,56,.2357707,32,22,323,361,0.046,0.869,32,21jan2009,22aug2011,746,42,.0343947,56,.4843064,31,26,"OVYM2X","8/23/11","10/27/11",94619,3,"OAKLAND_724930",724930,1,"OAKLAND"
"4GY9LD","SAN-JOSE-INTL",56,467,386,81.7374,"5",150,236,0.054,0.944,22,01jul2011,30mar2013,655,26,.0196083,56,.3601071,21,13,224,244,0.036,0.920,29,29jan2009,01jun2011,655,23,.0210856,56,.3720235,17,14,"4GY9LD","6/16/11","9/9/11",94087,4,"SAN-JOSE-INTL_724945",724945,1,"SAN-JOSE-INTL"
"FBDDJ3","NAPA-CO",56,536,476,59.42868,"6",127,349,0.056,0.955,15,30jan2012,31mar2013,1167,37,.0179716,56,.2994629,27,21,125,411,0.043,0.933,36,29jan2009,29dec2011,1167,31,.0161962,56,.3521629,23,19,"FBDDJ3","1/17/12","2/15/12",94903,2,"NAPA-CO_724955",724955,1,"NAPA-CO"
"S812VL","SAN-JOSE-REID",56,1098,900,197.9388,"8",328,572,0.067,0.870,14,12feb2012,13mar2013,805,65,.0793496,56,.7105595,60,64,371,727,0.072,0.655,37,12jan2009,11jan2012,805,83,.1107741,56,.9029585,80,89,"S812VL","1/21/12","3/16/12",95120,4,"SAN-JOSE-REID_724946",724946,1,"SAN-JOSE-REID"
"8WZD1Z","CONCORD",56,703,444,259.564,"9",210,233,0.060,0.924,21,02aug2011,01apr2013,846,33,.0181891,56,.2758894,26,15,304,399,0.050,0.893,30,01feb2009,04jul2011,846,46,.0309305,56,.471983,35,26,"8WZD1Z","8/2/11","10/14/11",94597,12,"CONCORD_724936",724936,1,"CONCORD"
"9IC5HT","MARYSVILLE-BEALE-AFB",57,862,792,70.27368,"1",448,344,0.052,0.900,21,17aug2011,17apr2013,1154,53,.0228551,57,.2983311,41,26,412,450,0.022,0.972,30,17feb2009,19jul2011,1154,25,.012472,57,.3899888,19,14,"9IC5HT","8/2/11","10/25/11",95765,11,"MARYSVILLE-BEALE-AFB_724837",724837,1,"MARYSVILLE-BEALE-AFB"
"SEHDPS1526388264","SANDBERG",57,,,,"11b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388264","8/24/11","7/27/12",91016,9,"SANDBERG_723830",723830,1,"SANDBERG"
"SEHDPS1526388359","LOS-ANGELES-DOWNTOWN",57,,,,"12b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SEHDPS1526388359","10/10/11","2/28/12",91724,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
"SGHDPS1526331746","LOS-ANGELES-DOWNTOWN",57,443,436,6.203217,"13",138,298,0.048,0.987,5,27aug2012,27dec2012,203,21,.0989008,57,1.46771,21,20,230,213,0.085,0.734,30,02mar2010,27jul2012,203,46,.1191801,57,1.047172,38,24,"SGHDPS1526331746","8/13/12","10/1/12",91107,9,"LOS-ANGELES-DOWNTOWN_722874",722874,1,"LOS-ANGELES-DOWNTOWN"
