account_id,station_name,nac_pre,nac_post,savings,site_number,station,base_post,nacc,cvnac_post,r2_post,nreads_post,begdate_post,enddate_post,ltcdd_post,sebs_post,secpdd_post,trefc_post,cpdd_post,senac_post,senacc_post,base_pre,cvnac_pre,r2_pre,nreads_pre,begdate_pre,enddate_pre,ltcdd_pre,sebs_pre,secpdd_pre,trefc_pre,cpdd_pre,senac_pre,senacc_pre,iou,iou_id,ca_climate_zone,zipcode,wthrfile,weather_station,retrofit_end_date,complete_date,station_id,station_number,isvalid
"SEHDPS1526388414","TORRANCE",9855,8771,1083.095,,"TORRANCE",8779,-7,0.050,0.000,18,19jun2012,19nov2013,481,525,.2381965,65,-.0154285,438,115,10215,0.039,0.087,52,19mar2008,18may2012,481,485,.3431259,65,-.7491663,382,165,"SCE","SEHDPS1526388414",6,90277,"",,"6/19/2012","6/19/2012","TORRANCE_722955",722955,1
"SEHDPS1526388509","HAWTHORNE-NORTHROP-FLD",10790,9944,846.0938,,"HAWTHORNE-NORTHROP-FLD",9511,434,0.038,0.275,22,01mar2012,27nov2013,393,451,.4003255,65,1.104,373,157,10528,0.026,0.056,48,28feb2008,31jan2012,393,357,.4032511,65,.6670273,277,158,"SCE","SEHDPS1526388509",8,90250,"",,"2/27/2012","2/27/2012","HAWTHORNE-NORTHROP-FLD_722956",722956,1
"SEHDPS1526388595","TORRANCE",11500,10421,1079.603,,"TORRANCE",10887,-466,0.038,0.590,17,26jul2012,25nov2013,481,467,.2084658,65,-.9689167,392,100,11569,0.034,0.003,52,26feb2008,26jun2012,481,509,.3766616,65,-.1428778,395,181,"SCE","SEHDPS1526388595",6,92646,"",,"7/5/2012","7/5/2012","TORRANCE_722955",722955,1
"SEHDPS1526388603","SANTA-MONICA",5558,5017,541.376,,"SANTA-MONICA",4983,34,0.039,0.015,20,12apr2012,12nov2013,244,231,.2698718,65,.1392103,198,66,5474,0.025,0.034,50,11feb2008,14mar2012,244,170,.2654203,65,.3441371,141,65,"SCE","SEHDPS1526388603",6,90403,"",,"4/5/2012","4/5/2012","SANTA-MONICA_722885",722885,1
"SEHDPS1526388607","LOS-ANGELES-DOWNTOWN",9170,7483,1687.169,,"LOS-ANGELES-DOWNTOWN",7030,453,0.050,0.273,17,12jul2012,12nov2013,640,488,.2984535,65,.7082938,374,191,8146,0.034,0.344,53,12feb2008,12jun2012,640,400,.3095606,65,1.60027,309,198,"SCE","SEHDPS1526388607",9,91789,"",,"6/22/2012","6/22/2012","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SEHDPS1526388673","RIVERSIDE",10145,10022,122.7324,,"RIVERSIDE",9242,781,0.072,0.146,18,13jun2012,13nov2013,1407,1002,.3361542,65,.5548894,722,473,8181,0.039,0.413,52,12feb2008,14may2012,1407,519,.2351612,65,1.39569,395,331,"SCE","SEHDPS1526388673",10,92504,"",,"6/13/2012","6/13/2012","RIVERSIDE_722869",722869,1
"SEHDPS1526388858","FULLERTON",7366,6360,1005.647,,"FULLERTON",5812,548,0.119,0.192,15,12sep2012,13nov2013,845,952,.3687871,65,.6488804,757,312,7796,0.046,0.058,55,14mar2008,13aug2012,845,448,.2804267,65,-.5085489,342,237,"SCE","SEHDPS1526388858",8,90650,"",,"8/27/2012","8/27/2012","FULLERTON_722976",722976,1
"SGHDPS1525783456","LOS-ANGELES-DOWNTOWN",,,,,"LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525783456",9,91107,"",,"1/31/2012","","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1525798860","VAN-NUYS",,,,,"VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525798860",9,91411,"",,"2/22/2012","","VAN-NUYS_722886",722886,1
"SGHDPS1525812520","VAN-NUYS",,,,,"VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525812520",9,91406,"",,"3/2/2012","","VAN-NUYS_722886",722886,1
"SGHDPS1525812598","LOS-ANGELES-DOWNTOWN",,,,,"LOS-ANGELES-DOWNTOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525812598",9,91107,"",,"3/10/2012","","LOS-ANGELES-DOWNTOWN_722874",722874,1
"SGHDPS1525975566","VAN-NUYS",,,,,"VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525975566",9,91307,"",,"4/9/2012","","VAN-NUYS_722886",722886,1
"SGHDPS1525985775","HAWTHORNE-NORTHROP-FLD",,,,,"HAWTHORNE-NORTHROP-FLD",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1525985775",8,90045,"",,"5/21/2012","","HAWTHORNE-NORTHROP-FLD_722956",722956,1
"SGHDPS1526086884","VAN-NUYS",,,,,"VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1526086884",9,91423,"",,"5/16/2012","","VAN-NUYS_722886",722886,1
"SGHDPS1526142993","VAN-NUYS",,,,,"VAN-NUYS",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1526142993",9,91344,"",,"6/4/2012","","VAN-NUYS_722886",722886,1
"SGHDPS1526228089","SANTA-MARIA",,,,,"SANTA-MARIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1526228089",5,93455,"",,"9/19/2012","","SANTA-MARIA_723940",723940,1
"SGHDPS1526317934","SANTA-MONICA",,,,,"SANTA-MONICA",,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCG","SGHDPS1526317934",6,90066,"",,"7/17/2012","","SANTA-MONICA_722885",722885,1
